PERMX	PERMY	PERMZ	Dates	Qoil(m3\day)	Qoil(t\day)	Qliq(m3\day)	Qcum_oil(m3)	Qcum_oil(t)	Qcum_wat
12	18	5	44409.00	214.971297	184.875316	316.24114	141328.097	121542.1635	205271.8576
12	18	5	44440.00	213.268879	183.411235	313.938413	147939.4323	127227.9117	215003.9484
12	18	5	44470.00	211.588751	181.966326	311.688536	154287.0948	132686.9015	224354.6045
12	18	5	44501.00	209.86722	180.485809	309.391628	160792.9786	138281.9616	233945.7449
12	18	5	44531.00	208.24116	179.087397	307.221583	167040.2134	143654.5835	243162.3924
12	18	5	44562.00	206.619182	177.692496	305.051326	173445.408	149163.0509	252618.9835
12	18	5	44593.00	205.068553	176.358955	302.965216	179802.5332	154630.1785	262010.9052
12	18	5	44621.00	203.728589	175.206587	301.152316	185506.9337	159535.963	270443.17
12	18	5	44652.00	202.313723	173.989801	299.226246	191778.6591	164929.6468	279719.1837
12	18	5	44682.00	201.010344	172.868896	297.439329	197808.9694	170115.7137	288642.3636
12	18	5	44713.00	199.72962	171.767473	295.670244	204000.5876	175440.5054	297808.1411
12	18	5	44743.00	198.547532	170.750878	294.025831	209957.0136	180563.0317	306628.916
12	18	5	44774.00	197.382129	169.748631	292.393141	216075.8596	185825.2392	315693.1034
12	18	5	44805.00	196.268236	168.790682	290.822139	222160.1749	191057.7504	324708.5897
12	18	5	44835.00	195.233535	167.90084	289.354504	228017.1809	196094.7756	333389.2248
12	18	5	44866.00	194.205875	167.017053	287.88949	234037.5631	201272.3042	342313.799
12	18	5	44896.00	193.246721	166.19218	286.51591	239834.9647	206258.0697	350909.2763
12	18	5	44927.00	192.291494	165.370685	285.141337	245796.001	211384.5609	359748.6578
12	18	5	44958.00	191.368628	164.577021	283.807715	251728.4285	216486.4485	368546.6969
12	18	5	44986.00	190.558718	163.880497	282.633393	257064.0726	221075.1024	376460.4319
12	18	5	45017.00	189.687492	163.131243	281.366039	262944.3849	226132.171	385182.7792
12	18	5	45047.00	188.866039	162.424793	280.167829	268610.366	231004.9148	393587.814
12	18	5	45078.00	188.039978	161.714381	278.959177	274439.6053	236018.0606	402235.5485
12	18	5	45108.00	187.260197	161.043769	277.815008	280057.4113	240849.3737	410569.9987
12	18	5	45139.00	186.472044	160.365957	276.65606	285838.0446	245820.7184	419146.3366
12	18	5	45170.00	185.700819	159.702704	275.519659	291594.77	250771.5022	427687.446
12	18	5	45200.00	184.969723	159.073962	274.44046	297143.8617	255543.721	435920.6598
12	18	5	45231.00	184.229853	158.437674	273.34642	302854.9871	260455.2889	444394.3988
12	18	5	45261.00	183.528049	157.834122	272.30706	308360.8286	265190.3126	452563.6106
12	18	5	45292.00	182.817468	157.223022	271.2531	314028.1701	270064.2262	460972.4567
12	18	5	45323.00	182.121111	156.624156	270.218673	319673.9245	274919.5751	469349.2356
12	18	5	45352.00	181.484516	156.076683	269.270388	324936.9755	279445.7989	477158.0768
12	18	5	45383.00	180.817181	155.502776	268.274905	330542.3081	284266.3849	485474.5989
12	18	5	45413.00	180.183167	154.957524	267.32798	335947.8031	288915.1107	493494.4383
12	18	5	45444.00	179.540275	154.404637	266.366525	341513.5516	293701.6544	501751.8006
12	18	5	45474.00	178.92945	153.879327	265.451762	346881.4351	298318.0342	509715.3534
12	18	5	45505.00	178.310086	153.346674	264.522763	352409.0478	303071.7811	517915.5591
12	18	5	45536.00	177.70234	152.824012	263.609662	357917.8203	307809.3255	526087.4586
12	18	5	45566.00	177.12486	152.327379	262.740568	363231.5661	312379.1469	533969.6756
12	18	5	45597.00	176.539164	151.82368	261.857527	368704.2802	317085.681	542087.259
12	18	5	45627.00	175.982471	151.344925	261.01675	373983.7543	321626.0287	549917.7615
12	18	5	45658.00	175.417753	150.859268	260.162287	379421.7047	326302.666	557982.7924
13	14	3.4	43862.00	409.025588	351.762005	539.519988	14632.26225	12583.74554	19067.50558
13	14	3.4	43891.00	318.234468	273.681642	434.462846	23861.0618	20520.51315	31666.9281
13	14	3.4	43922.00	266.135191	228.876264	375.254931	32111.25272	27615.67734	43299.83096
13	14	3.4	43952.00	234.032592	201.268029	339.357368	39132.2305	33653.71823	53480.552
13	14	3.4	43983.00	215.216884	185.08652	318.189456	45803.9539	39391.40035	63344.42511
13	14	3.4	44013.00	205.269224	176.531533	306.763322	51962.03061	44687.34633	72547.32478
13	14	3.4	44044.00	200.087908	172.075601	300.5223	58164.75576	50021.68996	81863.5161
13	14	3.4	44075.00	197.950033	170.237028	297.578937	64301.20678	55299.03783	91088.46314
13	14	3.4	44105.00	197.723095	170.041861	296.695365	70232.89961	60400.29367	99989.32409
